ORCH-1322: app-mobile/app.json (CONSUMER) declares no READ_MEDIA_*/READ_EXTERNAL_STORAGE android ...	success
ORCH-1318: consumer AASA claims /b,/t,/exp with matching Android intentFilters + no unbacked path...	success
ORCH-1318: business OneLink listener flip + onDeepLink pre-initSdk + go.usemingla.com domain + _l...	success
ORCH-1322: consumer gallery gates route through the mediaLibraryPermission wrapper (Android short...	success
ORCH-1321: mingla-business/app.json declares no READ_MEDIA_*/READ_EXTERNAL_STORAGE android permis...	success
ORCH-1318: consumer OneLink listener flip + onDeepLink pre-initSdk + ATT-safe single startSdk + s...	success
ORCH-1303: web picked-video blob: URL reaches the uploader UNMANGLED (resolveRawClipUploadUri web...	success
ORCH-1298 (ORCH-1301 hardening): brand-edit + trip-review cover previews render via video-capable...	success
ORCH-1303: RSVP momentum pulse loop + meter Animated.timing carry isInteraction:false so runAfter...	success
META-ORCH-0972: no brand kind reads	success
ORCH-1227: app name is "Mingla Business" + login legal links point at live usemingla.com pages (I...	success
ORCH-0964: foreground computed	success
ORCH-0964: theme typed columns	success
ORCH-0964: brand-rendering self-contained	success
ORCH-1019: curated hours via canonical reader (I-CURATED-HOURS-VIA-CANONICAL-READER)	success
ORCH-0963: public trip RPC and route segregation	success
ORCH-1300: RSVP guest phone country-picker overlay is portaled to document.body on web so positio...	success
ORCH-1297 (ORCH-1301 hardening): Bunny TUS PATCH re-sends its CREATE auth headers (spread ...inpu...	success
ORCH-0975: notifications sheet bottom-sheet invariant	success
ORCH-1292 (tester adversarial): scope-bound render + strict byte-exact drift — each taxonomy .m...	success
ORCH-1299: RSVP guest phone country-picker uses web overlay inside RsvpDetailsModal; checkout kee...	success
ORCH-1253: business iOS infoPlist declares NSLocationWhenInUseUsageDescription (fix ITMS-90683) (...	success
ORCH-0965: home dashboard uses tri-kind upcoming hook	success
G-CIRCLE-RPC-SOLE-OWNER: Your Circle RPC sole owner	success
ORCH-1238: Stripe publishable key via mode-validated resolver only (I-STRIPE-PUBLISHABLE-KEY-VIA-...	success
ORCH-1292: public event/RSVP pills resolve party/vibe/music slugs to canonical labels; in-package...	success
ORCH-0974: Home mobile lock pane	success
ORCH-1297: chip-in return banner opaque (fails-on-revert)	success
ORCH-1298: paid chip-in enqueues guest+host gift receipts, idempotent, both rails, no-sms seed, g...	success
ORCH-0964: checkout no brand theme	success
ORCH-0913: no tab strips on dashboards	success
ORCH-0947: trip spots count tickets	success
ORCH-0964: well-known JSON content type	success
ORCH-0957: no metered place-photo reads	success
ORCH-0964: theme resolver canonical	success
META-ORCH-1104: support backend invariants (NO-KBC-ON-WEB / no bare tickets-agents / support-scop...	success
I-PROPOSED-P: STRIPE-STATE-CANONICAL-IS-CONNECT-ACCOUNTS	success
ORCH-1212: curated 'today' is from-now-onward (I-CURATED-TODAY-FROM-NOW-ONWARD)	success
